architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0006,channels,2,1048576,LL,LL,20,20,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,38.8812804222,38.8095998764,38.9836788177,38.95562,38.90101,39.06072,0.07704118230000034,0.0757102016000033,0.07839094829999738
a100,c0006,channels,2,1310720,LL,LL,20,20,0,108,0,16,20,100,0,True,,13.1072,205237;205466,5,44.9638414383,44.9331188202,45.0048017502,45.03935,45.0177,45.07923,0.081449809300004,0.07550856169999776,0.08458117979999713
a100,c0006,channels,2,2097152,LL,LL,20,20,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,65.0547218323,64.9215984344,65.4848003387,65.132,65.00334,65.62696,0.08174156559999801,0.08087925929999074,0.14021962830000234
a100,c0006,channels,2,2621440,LL,LL,20,20,0,108,0,16,20,100,0,True,,26.2144,205237;205466,5,75.5609607697,75.4278421402,75.6326389313,75.66602,75.51101,75.70228,0.08316785979999963,0.07627063390000899,0.1050592303000002
a100,c0006,channels,2,3145728,LL,LL,20,20,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,89.4361591339,89.3132781982,89.4668769836,89.5091,89.3954,89.54528,0.07639812499999721,0.07294086609999795,0.07840301640000291
a100,c0006,channels,2,4194304,LL,LL,20,20,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,114.513921738,114.391040802,114.882564545,114.59016,114.46964,114.95107,0.07623826200000394,0.07509228399999301,0.07859919799999204
a100,c0006,channels,2,5242880,LL,LL,20,20,0,108,0,16,20,100,0,True,,52.4288,205237;205466,5,139.673595428,139.653120041,139.683837891,139.7591,139.72534,139.80852,0.07526210899999342,0.07336089500000753,0.08620624899998575
a100,c0007,channels,2,262144,LL,LL,22,22,0,108,0,16,20,100,0,True,,2.6214399999999998,205237;205466,5,17.7766394615,17.7561604977,17.8073596954,17.85172,17.84,17.88499,0.07508053849999996,0.07020952480000275,0.07763030459999953
a100,c0007,channels,2,360448,LL,LL,22,22,0,108,0,16,20,100,0,True,,3.6044799999999997,205237;205466,5,19.773440361,19.6505594254,20.0191998482,19.84767,19.72925,20.09896,0.07869057459999951,0.0756396164999984,0.07976015180000218
a100,c0007,channels,2,524288,LL,LL,22,22,0,108,0,16,20,100,0,True,,5.2428799999999995,205237;205466,5,24.1356801987,24.1254401207,24.2176008224,24.2194,24.20568,24.29815,0.08054917759999825,0.08023987930000231,0.08371980129999912
a100,c0007,channels,2,1048576,LL,LL,22,22,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,37.9084801674,37.8675198555,37.9084801674,37.98595,37.94526,37.99456,0.07774931979999877,0.07774014449999811,0.0860798325999994
a100,c0007,channels,2,1441792,LL,LL,22,22,0,108,0,16,20,100,0,True,,14.417919999999999,205237;205466,5,48.2304000854,48.1177616119,48.2918405533,48.30033,48.19663,48.37549,0.0788683880999983,0.07728194180000258,0.08059929079999506
a100,c0007,channels,2,2097152,LL,LL,22,22,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,63.6211204529,63.283200264,64.5939207077,63.75774,63.36018,64.71829,0.08040176330000293,0.07697973599999841,0.1243692923000026
a100,c0007,channels,2,2883584,LL,LL,22,22,0,108,0,16,20,100,0,True,,28.835839999999997,205237;205466,5,81.2032032013,81.1622428894,81.2441635132,81.28454,81.23334,81.32352,0.07935648680000895,0.07712714360000916,0.08133679870000776
a100,c0007,channels,2,3145728,LL,LL,22,22,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,88.8319969177,88.5657596588,88.9651203156,88.90784,88.64553,89.04811,0.07961906069999714,0.07584308229999692,0.07977034119998905
a100,c0007,channels,2,4194304,LL,LL,22,22,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,112.547836304,112.476158142,112.568321228,112.61996,112.55053,112.64782,0.07846216999999456,0.07437185799999213,0.07949877199999378
a100,c0007,channels,2,5767168,LL,LL,22,22,0,108,0,16,20,100,0,True,,57.671679999999995,205237;205466,5,149.616641998,149.575681686,149.821443558,149.69485,149.66058,149.96147,0.08349018499998806,0.08123824800000534,0.08489831400001435
a100,c0008,channels,2,262144,LL,LL,23,22,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205237;205466,5,17.7766394615,17.7766394615,17.7868795395,17.85072,17.84821,17.86295,0.07364035999999885,0.07352999269999927,0.07408053849999874
a100,c0008,channels,2,376832,LL,LL,23,23,0,108,0,16,20,100,0,True,,3.76832,205237;205466,5,19.9782395363,19.9577605724,20.0499200821,20.05358,20.03694,20.12451,0.07534046370000169,0.07458991789999914,0.07642966150000063
a100,c0008,channels,2,524288,LL,LL,23,22,0,108,0,16,20,100,0,False,channels_unrealized,5.2428799999999995,205237;205466,5,24.1664004326,24.1561603546,24.1868805885,24.24706,24.22852,24.26178,0.07489941150000234,0.07235964539999884,0.08065956740000146
a100,c0008,channels,2,1048576,LL,LL,23,22,0,108,0,16,20,100,0,False,channels_unrealized,10.485759999999999,205237;205466,5,37.8572797775,37.8470396996,37.9596805573,37.94046,37.92853,38.04125,0.08284885189999613,0.08149030039999872,0.08318022250000467
a100,c0008,channels,2,1507328,LL,LL,23,23,0,108,0,16,20,100,0,True,,15.07328,205237;205466,5,49.1724777222,49.1417598724,49.1827201843,49.25157,49.21632,49.26269,0.07909227780000094,0.07551875699999755,0.07996981569999662
a100,c0008,channels,2,2097152,LL,LL,23,23,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,63.6927986145,63.6518383026,63.8259220123,63.77639,63.72569,63.90925,0.08332798770000238,0.07385169740000208,0.08359138550000011
a100,c0008,channels,2,3014656,LL,LL,23,23,0,108,0,16,20,100,0,True,,30.14656,205237;205466,5,84.3264007568,84.2751979828,84.3878364563,84.40397,84.35707,84.46418,0.07713556640000263,0.07634354370000551,0.0775692432000028
a100,c0008,channels,2,3145728,LL,LL,23,23,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,88.7091159821,88.6271953583,89.0163230896,88.84602,88.70757,89.16183,0.13690401789999385,0.08037464170000419,0.14550691040000174
a100,c0008,channels,2,4194304,LL,LL,23,23,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,111.902723312,111.861763,112.660484314,111.98544,111.97924,112.74309,0.08260568599999374,0.07651668799999811,0.09011700000000644
a100,c0008,channels,2,6029312,LL,LL,23,23,0,108,0,16,20,100,0,True,,60.29312,205237;205466,5,156.006402969,155.791358948,156.047363281,156.08501,155.86558,156.12806,0.0806967190000023,0.07860703100001842,0.0812213970000073
a100,c0009,channels,2,262144,LL,LL,24,22,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205237;205466,5,17.8483200073,17.8175997734,17.9200005531,17.91776,17.89381,17.9953,0.07529944690000079,0.0728600481000008,0.0762102265999971
a100,c0009,channels,2,393216,LL,LL,24,24,0,108,0,16,20,100,0,True,,3.93216,205237;205466,5,20.377600193,20.2751994133,20.4288005829,20.45334,20.35656,20.49933,0.07573980700000149,0.07052941710000127,0.08136058670000068
a100,c0009,channels,2,524288,LL,LL,24,22,0,108,0,16,20,100,0,False,channels_unrealized,5.2428799999999995,205237;205466,5,24.0947198868,23.9820790291,24.1664004326,24.1675,24.0628,24.24856,0.07925886570000173,0.07884104889999932,0.08072097089999986
a100,c0009,channels,2,1048576,LL,LL,24,24,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,37.7753591537,37.7651190758,37.9084801674,37.84578,37.84568,37.98335,0.07486983260000102,0.07461885189999862,0.08056092420000027
a100,c0009,channels,2,1572864,LL,LL,24,24,0,108,0,16,20,100,0,True,,15.72864,205237;205466,5,50.6982421875,50.5855989456,50.7904005051,50.78442,50.6665,50.86168,0.079221522200001,0.07871117740000244,0.08090105440000173
a100,c0009,channels,2,2097152,LL,LL,24,24,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,61.1942386627,61.143040657,61.3580799103,61.27146,61.21374,61.43587,0.0772213372999957,0.07517196109999702,0.07779008970000234
a100,c0009,channels,2,3145728,LL,LL,24,24,0,108,0,16,20,100,0,True,,31.45728,205237;205466,5,87.3267173767,87.2243213654,87.572479248,87.41767,87.29453,87.65021,0.0777307520000079,0.07494387079999854,0.09095262329999798
a100,c0009,channels,2,4194304,LL,LL,24,24,0,108,0,16,20,100,0,True,,41.943039999999996,205237;205466,5,111.421442032,111.359996796,111.677436829,111.50642,111.43828,111.7589,0.07828320400000166,0.0768961299999944,0.08146317099999578
a100,c0009,channels,2,6291456,LL,LL,24,24,0,108,0,16,20,100,0,True,,62.91456,205237;205466,5,160.481281281,160.348167419,160.573444366,160.62613,160.42875,160.65099,0.08058258100001581,0.07754563400001757,0.08068743900000186
a100,c0010,channels,2,262144,LL,LL,28,22,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205466,5,17.7561604977,17.7459204197,17.7766394615,17.84061,17.81655,17.85503,0.078390538499999,0.07335035999999917,0.08444950230000003
a100,c0010,channels,2,458752,LL,LL,28,28,0,108,0,16,20,100,0,True,,4.5875200000000005,205466,5,22.1081590652,22.1081590652,22.6304006577,22.19049,22.18838,22.75518,0.08233093480000164,0.08022093479999981,0.12477934229999832
a100,c0010,channels,2,524288,LL,LL,28,26,0,108,0,16,20,100,0,False,channels_unrealized,5.2428799999999995,205466,5,24.023039341,23.9820790291,24.0537595749,24.10458,24.05649,24.12422,0.07535952239999943,0.0744109709000007,0.08064917759999801
a100,c0010,channels,2,1048576,LL,LL,28,26,0,108,0,16,20,100,0,False,channels_unrealized,10.485759999999999,205466,5,36.8435192108,36.8332791328,36.8537592888,36.91638,36.90476,36.93422,0.07608957460000454,0.07286078919999994,0.0804607112000042
a100,c0010,channels,2,1835008,LL,LL,28,28,0,108,0,16,20,100,0,True,,18.350080000000002,205466,5,57.3747205734,57.3542404175,57.3849582672,57.45188,57.42894,57.45829,0.07715942660000508,0.07469958249999564,0.079750173299999
a100,c0010,channels,2,2097152,LL,LL,28,27,0,108,0,16,20,100,0,False,channels_unrealized,20.971519999999998,205466,5,62.4844789505,62.4537611008,62.5868797302,62.56295,62.53048,62.65892,0.07847104950000272,0.07671889919999586,0.0786512383999991
a100,c0010,channels,2,3145728,LL,LL,28,28,0,108,0,16,20,100,0,True,,31.45728,205466,5,88.0844783783,87.8079986572,88.115196228,88.2028,87.88778,88.24707,0.08289791199999286,0.07978134280000404,0.08760377199999425
a100,c0010,channels,2,3670016,LL,LL,28,28,0,108,0,16,20,100,0,True,,36.700160000000004,205466,5,101.079044342,100.966396332,101.09951973,101.15065,101.05366,101.24042,0.07672631500000193,0.0753971840000105,0.08726366799999141
a100,c0010,channels,2,4194304,LL,LL,28,28,0,108,0,16,20,100,0,True,,41.943039999999996,205466,5,115.445756912,115.189762115,115.476484299,115.51555,115.26096,115.56534,0.08244090499999857,0.07119788500000368,0.08350128200000029
a100,c0010,channels,2,7340032,LL,LL,28,28,0,108,0,16,20,100,0,True,,73.40032000000001,205466,5,190.689277649,190.658569336,190.894088745,190.77117,190.7392,190.9797,0.08189235100002179,0.0815980510000145,0.08561125500000344
a100,c0011,channels,2,262144,LL,LL,32,32,0,108,0,16,20,100,0,True,,2.6214399999999998,205237;205466,5,16.9164800644,16.7936003208,16.9472002983,16.98826,16.87174,17.02253,0.07813967919999953,0.07532970169999942,0.07977983510000186
a100,c0011,channels,2,524288,LL,LL,32,32,0,108,0,16,20,100,0,True,,5.2428799999999995,205237;205466,5,23.398399353,23.2857608795,23.4495997429,23.46685,23.35865,23.52175,0.07288912050000107,0.07215025710000234,0.08251958830000206
a100,c0011,channels,2,1048576,LL,LL,32,32,0,108,0,16,20,100,0,True,,10.485759999999999,205237;205466,5,36.485118866,36.2905597687,36.5055990219,36.5623,36.38245,36.57753,0.08061082209999881,0.07718113399999993,0.08107023130000357
a100,c0011,channels,2,2097152,LL,LL,32,32,0,108,0,16,20,100,0,True,,20.971519999999998,205237;205466,5,62.5254392624,62.3615980148,62.5971221924,62.59961,62.44121,62.66984,0.07809198519999683,0.07417073759999937,0.07961198519999613
