architecture,condition_id,family,width,bytes,requested_protocol,protocol,requested_channels,channels,requested_sms,granted_sms,requested_threads,warps,warmup,iterations,rotate,qualified_control,unqualified_reasons,physical_floor_us,captures,repetitions,event_us,event_us_q1,event_us_q3,wall_us,wall_us_q1,wall_us_q3,paired_gap_us,paired_gap_us_q1,paired_gap_us_q3
a100,c0005,channels,2,524288,LL,LL,16,16,0,108,0,16,20,100,0,True,,5.2428799999999995,205466,4,25.76896071435,25.7228803635,25.827840566625,25.850749999999998,25.80193,25.910339999999998,0.08178928565000021,0.07904963649999974,0.08249943337500021
a100,c0005,channels,2,1048576,LL,LL,16,16,0,108,0,16,20,100,0,True,,10.485759999999999,205237,1,41.6358423233,41.6358423233,41.6358423233,41.75992,41.75992,41.75992,0.12407767670000425,0.12407767670000425,0.12407767670000425
a100,c0005,channels,2,1048576,LL,LL,16,16,0,108,0,16,20,100,0,True,,10.485759999999999,205466,4,41.292800903300005,41.218559741975,41.400321722,41.368875,41.294285,41.4928075,0.07646364534999961,0.07611480667499748,0.09248577800000213
a100,c0005,channels,2,2097152,LL,LL,16,16,0,108,0,16,20,100,0,True,,20.971519999999998,205237,1,66.5395212173,66.5395212173,66.5395212173,70.91595,70.91595,70.91595,4.376428782699989,4.376428782699989,4.376428782699989
a100,c0005,channels,2,2097152,LL,LL,16,16,0,108,0,16,20,100,0,True,,20.971519999999998,205466,4,66.68800115585,66.593281030625,66.76735997202499,66.76664500000001,66.6730125,66.843895,0.07686052654999997,0.0760799972500017,0.07840318250000067
a100,c0005,channels,2,3145728,LL,LL,16,16,0,108,0,16,20,100,0,True,,31.45728,205237,1,92.6412773132,92.6412773132,92.6412773132,92.70868,92.70868,92.70868,0.06740268679999417,0.06740268679999417,0.06740268679999417
a100,c0005,channels,2,3145728,LL,LL,16,16,0,108,0,16,20,100,0,True,,31.45728,205466,4,92.1497583389,92.0422363281,92.28800058362499,92.23179999999999,92.1203075,92.37335,0.08071619325000512,0.07936433350000272,0.0827307869250049
a100,c0005,channels,2,4194304,LL,LL,16,16,0,108,0,16,20,100,0,True,,41.943039999999996,205237,1,120.227842331,120.227842331,120.227842331,120.30118,120.30118,120.30118,0.07333766899999716,0.07333766899999716,0.07333766899999716
a100,c0005,channels,2,4194304,LL,LL,16,16,0,108,0,16,20,100,0,True,,41.943039999999996,205466,4,120.5452775955,120.25855779675,120.6963181495,120.65796,120.353545,120.836335,0.13196089400000233,0.11928769125000827,0.1349948519999984
a100,c0006,channels,2,262144,LL,LL,20,16,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205237,2,17.8585600853,17.8073602915,17.9097598791,17.932335000000002,17.8837175,17.9809525,0.07377491469999953,0.07119262089999978,0.07635720849999927
a100,c0006,channels,2,262144,LL,LL,20,16,0,108,0,16,20,100,0,False,channels_unrealized,2.6214399999999998,205466,3,17.7868795395,17.7817595005,17.80735969545,17.86375,17.85899,17.88589,0.07759053850000086,0.0772304995000006,0.07889034355000035
a100,c0006,channels,2,327680,LL,LL,20,20,0,108,0,16,20,100,0,True,,3.2768,205237,2,18.949119448650002,18.910719454275,18.987519443025,19.02549,18.986215,19.064765,0.07637055135000104,0.07549554572500039,0.07724555697500168
a100,c0006,channels,2,327680,LL,LL,20,20,0,108,0,16,20,100,0,True,,3.2768,205466,3,18.9952003956,18.9542400837,19.020799994500003,19.07338,19.033555,19.09868,0.07817960439999894,0.07788000549999907,0.07931491629999954
a100,c0006,channels,2,524288,LL,LL,20,19,0,108,0,16,20,100,0,False,channels_unrealized,5.2428799999999995,205237,2,25.3849601746,25.32863974575,25.44128060345,25.465455,25.4086725,25.5222375,0.08049482540000064,0.08003275425000123,0.08095689655000005
