width,protocol,channels,sms,parameter,baseline_ps,perturbed_ps,fractional_parameter_change,normalized_sensitivity
4,LL128,1,4,memory_bytes_per_second,1444096,1438125,0.05,-0.08269533327424215
4,LL128,1,4,shared_memory_bytes_per_second,1444096,1443780,0.05,-0.004376440347456124
4,LL128,4,1,kernel_entry_cycles,5171776,5181776,0.05,0.038671435112425594
4,LL128,4,1,block_setup_cycles,5171776,5187776,0.05,0.061874296179880946
4,LL128,4,1,warp_issue_cycles,5171776,5331776,0.25,0.1237485923597619
4,LL128,4,1,barrier_cycles_per_warp,5171776,5427776,0.5,0.09899887388780952
4,LL128,4,1,publication_cycles,5171776,5195776,0.05,0.09281144426982144
4,LL128,4,1,poll_issue_cycles,5171776,5195776,0.25,0.018562288853964288
4,LL128,4,1,poll_interval_cycles,5171776,5291776,0.05,0.46405722134910715
4,LL128,4,1,memory_bytes_per_second,5171776,5148256,0.05,-0.09095521538442498
4,LL128,4,1,shared_memory_bytes_per_second,5171776,5170368,0.05,-0.005444938063829524
4,LL128,4,4,kernel_entry_cycles,2544864,2554864,0.05,0.07858966137286708
4,LL128,4,4,block_setup_cycles,2544864,2548864,0.05,0.031435864549146826
4,LL128,4,4,warp_issue_cycles,2544864,2484864,0.25,-0.09430759364744049
4,LL128,4,4,barrier_cycles_per_warp,2544864,2508864,0.5,-0.028292278094232147
4,LL128,4,4,publication_cycles,2544864,2550864,0.05,0.04715379682372024
4,LL128,4,4,poll_issue_cycles,2544864,2550864,0.25,0.00943075936474405
4,LL128,4,4,poll_interval_cycles,2544864,2534760,0.05,-0.07940699385114489
4,LL128,4,4,memory_bytes_per_second,2544864,2557789,0.05,0.1015771373244307
4,LL128,4,4,shared_memory_bytes_per_second,2544864,2544512,0.05,-0.002766356080324921
4,SIMPLE,1,1,kernel_entry_cycles,1209760,1219760,0.05,0.16532204734823436
4,SIMPLE,1,1,block_setup_cycles,1209760,1213760,0.05,0.06612881893929373
4,SIMPLE,1,1,warp_issue_cycles,1209760,1219760,0.25,0.03306440946964687
4,SIMPLE,1,1,barrier_cycles_per_warp,1209760,1334840,0.5,0.20678481682317154
4,SIMPLE,1,1,publication_cycles,1209760,1233760,0.05,0.39677291363576245
4,SIMPLE,1,1,poll_issue_cycles,1209760,1225760,0.25,0.052903055151434994
4,SIMPLE,1,1,poll_interval_cycles,1209760,1209760,0.05,0.0
4,SIMPLE,1,1,memory_bytes_per_second,1209760,1208429,0.05,-0.02200436450204999
4,SIMPLE,1,1,shared_memory_bytes_per_second,1209760,1209760,0.05,0.0
4,SIMPLE,1,4,kernel_entry_cycles,1209760,1219760,0.05,0.16532204734823436
4,SIMPLE,1,4,block_setup_cycles,1209760,1213760,0.05,0.06612881893929373
4,SIMPLE,1,4,warp_issue_cycles,1209760,1219760,0.25,0.03306440946964687
4,SIMPLE,1,4,barrier_cycles_per_warp,1209760,1334840,0.5,0.20678481682317154
4,SIMPLE,1,4,publication_cycles,1209760,1233760,0.05,0.39677291363576245
4,SIMPLE,1,4,poll_issue_cycles,1209760,1225760,0.25,0.052903055151434994
4,SIMPLE,1,4,poll_interval_cycles,1209760,1209760,0.05,0.0
4,SIMPLE,1,4,memory_bytes_per_second,1209760,1208429,0.05,-0.02200436450204999
4,SIMPLE,1,4,shared_memory_bytes_per_second,1209760,1209760,0.05,0.0
4,SIMPLE,4,1,kernel_entry_cycles,4051840,4061840,0.05,0.04936029063339124
4,SIMPLE,4,1,block_setup_cycles,4051840,4067840,0.05,0.078976465013426
4,SIMPLE,4,1,warp_issue_cycles,4051840,4091840,0.25,0.039488232506712996
4,SIMPLE,4,1,barrier_cycles_per_warp,4051840,4631840,0.5,0.28628968567366925
4,SIMPLE,4,1,publication_cycles,4051840,4147840,0.05,0.4738587900805559
4,SIMPLE,4,1,poll_issue_cycles,4051840,4115840,0.25,0.0631811720107408
4,SIMPLE,4,1,poll_interval_cycles,4051840,4051840,0.05,0.0
4,SIMPLE,4,1,memory_bytes_per_second,4051840,4050160,0.05,-0.00829252882640973
4,SIMPLE,4,1,shared_memory_bytes_per_second,4051840,4051840,0.05,0.0
4,SIMPLE,4,4,kernel_entry_cycles,1167560,1177560,0.05,0.1712974065572647
4,SIMPLE,4,4,block_setup_cycles,1167560,1171560,0.05,0.06851896262290588
4,SIMPLE,4,4,warp_issue_cycles,1167560,1177560,0.25,0.03425948131145294
4,SIMPLE,4,4,barrier_cycles_per_warp,1167560,1311800,0.5,0.24707937921819864
4,SIMPLE,4,4,publication_cycles,1167560,1191560,0.05,0.41111377573743535
4,SIMPLE,4,4,poll_issue_cycles,1167560,1183560,0.25,0.05481517009832471
4,SIMPLE,4,4,poll_interval_cycles,1167560,1167560,0.05,0.0
4,SIMPLE,4,4,memory_bytes_per_second,1167560,1167140,0.05,-0.007194491075405118
4,SIMPLE,4,4,shared_memory_bytes_per_second,1167560,1167560,0.05,0.0
