protocol,count,reuse_delay_ps,reservation,steps,issued_at_ps,oracle_ps
SIMPLE,16,500000,12,2,1000000,1000000
SIMPLE,16,500000,13,2,1500000,1500000
SIMPLE,16,500000,14,2,1500000,1500000
SIMPLE,16,500000,15,2,1500000,1500000
SIMPLE,16,500000,16,2,1500000,1500000
SIMPLE,16,2000000,1,2,0,0
SIMPLE,16,2000000,2,2,0,0
SIMPLE,16,2000000,3,2,0,0
SIMPLE,16,2000000,4,2,0,0
SIMPLE,16,2000000,5,2,2000000,2000000
SIMPLE,16,2000000,6,2,2000000,2000000
SIMPLE,16,2000000,7,2,2000000,2000000
SIMPLE,16,2000000,8,2,2000000,2000000
SIMPLE,16,2000000,9,2,4000000,4000000
SIMPLE,16,2000000,10,2,4000000,4000000
SIMPLE,16,2000000,11,2,4000000,4000000
SIMPLE,16,2000000,12,2,4000000,4000000
SIMPLE,16,2000000,13,2,6000000,6000000
SIMPLE,16,2000000,14,2,6000000,6000000
SIMPLE,16,2000000,15,2,6000000,6000000
SIMPLE,16,2000000,16,2,6000000,6000000
SIMPLE,16,8000000,1,2,0,0
SIMPLE,16,8000000,2,2,0,0
SIMPLE,16,8000000,3,2,0,0
SIMPLE,16,8000000,4,2,0,0
SIMPLE,16,8000000,5,2,8000000,8000000
SIMPLE,16,8000000,6,2,8000000,8000000
SIMPLE,16,8000000,7,2,8000000,8000000
SIMPLE,16,8000000,8,2,8000000,8000000
SIMPLE,16,8000000,9,2,16000000,16000000
SIMPLE,16,8000000,10,2,16000000,16000000
SIMPLE,16,8000000,11,2,16000000,16000000
SIMPLE,16,8000000,12,2,16000000,16000000
SIMPLE,16,8000000,13,2,24000000,24000000
SIMPLE,16,8000000,14,2,24000000,24000000
SIMPLE,16,8000000,15,2,24000000,24000000
SIMPLE,16,8000000,16,2,24000000,24000000
SIMPLE,17,0,1,2,0,0
SIMPLE,17,0,2,2,0,0
SIMPLE,17,0,3,2,0,0
SIMPLE,17,0,4,2,0,0
SIMPLE,17,0,5,2,0,0
SIMPLE,17,0,6,2,0,0
SIMPLE,17,0,7,2,0,0
SIMPLE,17,0,8,2,0,0
SIMPLE,17,0,9,2,0,0
SIMPLE,17,0,10,2,0,0
SIMPLE,17,0,11,2,0,0
SIMPLE,17,0,12,2,0,0
SIMPLE,17,0,13,2,0,0
SIMPLE,17,0,14,2,0,0
SIMPLE,17,0,15,2,0,0
SIMPLE,17,0,16,2,0,0
SIMPLE,17,0,17,2,0,0
SIMPLE,17,500000,1,2,0,0
SIMPLE,17,500000,2,2,0,0
SIMPLE,17,500000,3,2,0,0
SIMPLE,17,500000,4,2,0,0
SIMPLE,17,500000,5,2,500000,500000
SIMPLE,17,500000,6,2,500000,500000
SIMPLE,17,500000,7,2,500000,500000
SIMPLE,17,500000,8,2,500000,500000
SIMPLE,17,500000,9,2,1000000,1000000
SIMPLE,17,500000,10,2,1000000,1000000
SIMPLE,17,500000,11,2,1000000,1000000
SIMPLE,17,500000,12,2,1000000,1000000
SIMPLE,17,500000,13,2,1500000,1500000
SIMPLE,17,500000,14,2,1500000,1500000
SIMPLE,17,500000,15,2,1500000,1500000
SIMPLE,17,500000,16,2,1500000,1500000
SIMPLE,17,500000,17,2,2000000,2000000
SIMPLE,17,2000000,1,2,0,0
SIMPLE,17,2000000,2,2,0,0
SIMPLE,17,2000000,3,2,0,0
SIMPLE,17,2000000,4,2,0,0
SIMPLE,17,2000000,5,2,2000000,2000000
SIMPLE,17,2000000,6,2,2000000,2000000
SIMPLE,17,2000000,7,2,2000000,2000000
SIMPLE,17,2000000,8,2,2000000,2000000
SIMPLE,17,2000000,9,2,4000000,4000000
SIMPLE,17,2000000,10,2,4000000,4000000
SIMPLE,17,2000000,11,2,4000000,4000000
SIMPLE,17,2000000,12,2,4000000,4000000
SIMPLE,17,2000000,13,2,6000000,6000000
SIMPLE,17,2000000,14,2,6000000,6000000
SIMPLE,17,2000000,15,2,6000000,6000000
SIMPLE,17,2000000,16,2,6000000,6000000
SIMPLE,17,2000000,17,2,8000000,8000000
SIMPLE,17,8000000,1,2,0,0
SIMPLE,17,8000000,2,2,0,0
SIMPLE,17,8000000,3,2,0,0
SIMPLE,17,8000000,4,2,0,0
SIMPLE,17,8000000,5,2,8000000,8000000
SIMPLE,17,8000000,6,2,8000000,8000000
SIMPLE,17,8000000,7,2,8000000,8000000
SIMPLE,17,8000000,8,2,8000000,8000000
SIMPLE,17,8000000,9,2,16000000,16000000
SIMPLE,17,8000000,10,2,16000000,16000000
SIMPLE,17,8000000,11,2,16000000,16000000
SIMPLE,17,8000000,12,2,16000000,16000000
SIMPLE,17,8000000,13,2,24000000,24000000
SIMPLE,17,8000000,14,2,24000000,24000000
SIMPLE,17,8000000,15,2,24000000,24000000
SIMPLE,17,8000000,16,2,24000000,24000000
SIMPLE,17,8000000,17,2,32000000,32000000
