architecture,width,lane,arm,bytes,model_us,measured_us,error_pct
gh200,2,legacy,auto,3817472,52.911143737648786,53.40160057,-0.9184309592149997
gh200,2,legacy,auto,3833856,53.08502494751583,53.3536002,-0.5033873093425734
gh200,2,legacy,auto,3850240,53.258808075094464,53.62240225,-0.6780639427722335
gh200,2,legacy,auto,3866624,53.43249359273202,54.12160233,-1.2732600433117636
gh200,2,legacy,auto,3883008,53.60608196850973,54.30240184,-1.2823003180263637
gh200,2,legacy,auto,3899392,53.77957366629963,54.43040282,-1.1957088685392248
gh200,2,legacy,auto,3915776,53.952969145818756,54.64320257,-1.2631642944006205
gh200,2,legacy,auto,3932160,54.12626886268501,54.59200218,-0.8531163883298887
gh200,2,legacy,auto,3948544,54.29947326846917,54.5231998,-0.41033272506290075
gh200,2,legacy,auto,3964928,54.47258281074899,54.60960418,-0.25091075335278434
gh200,2,legacy,auto,3981312,54.64559793315932,54.95039746,-0.5546812051042016
gh200,2,legacy,auto,3997696,54.818519075444314,55.26400357,-0.8061024641318526
gh200,2,legacy,auto,4014080,54.991346673506264,55.36799878,-0.6802703994961634
gh200,2,legacy,auto,4030464,55.16408115945539,55.7728,-1.0914260007469645
gh200,2,legacy,auto,4046848,55.33672296165795,55.83199859,-0.8870820333319762
gh200,2,legacy,auto,4063232,55.509272504783326,55.90559915,-0.7089212015299107
gh200,2,legacy,auto,4079616,55.68173020985132,55.45120314,0.41572960873237363
gh200,2,legacy,auto,4096000,55.85409649427757,55.70559949,0.2665746453446305
gh200,2,legacy,auto,4112384,56.02637177191879,56.00320175,0.04137267369501707
gh200,2,legacy,auto,4128768,56.198556453117384,56.49279803,-0.5208479437084468
gh200,2,legacy,auto,4145152,56.370650944745044,56.55679852,-0.3291338621105422
gh200,2,legacy,auto,4161536,56.54265565024527,56.71200156,-0.2986068294125732
gh200,2,legacy,auto,4177920,56.7145709696763,56.85439706,-0.2459371615112449
gh200,2,legacy,auto,4194304,56.88639729975224,57.00640008,-0.21050755718542424
gh200,2,timing,auto,262144,10.787200180000932,10.80954,-0.20666762877113998
gh200,2,timing,auto,278528,11.033919892591683,11.59319,-4.824126124115247
gh200,2,timing,auto,294912,11.278729704830132,11.66678,-3.326113076357551
gh200,2,timing,auto,311296,11.521749418565088,11.98326,-3.85129406718131
gh200,2,timing,auto,327680,11.763085419850345,12.11414,-2.8978910607740715
gh200,2,timing,auto,344064,12.00283277661894,12.99538,-7.637692959967779
gh200,2,timing,auto,360448,12.241076924076863,13.04754,-6.180958831497252
gh200,2,timing,auto,376832,12.477895033918367,13.52212,-7.722346540939085
gh200,2,timing,auto,393216,12.713357137853349,13.53653,-6.081121691797319
gh200,2,timing,auto,409600,12.947527057937307,14.39309,-10.043451003660042
gh200,2,timing,auto,425984,13.180463183326054,14.50573,-9.136160790762993
gh200,2,timing,auto,442368,13.412219123740241,14.83051,-9.563331781980244
gh200,2,timing,auto,458752,13.64284426305002,14.92619,-8.5979458719873
gh200,2,timing,auto,475136,13.872384231268668,15.81576,-12.28759015520804
gh200,2,timing,auto,491520,14.100881309378641,15.95655,-11.629510706395552
gh200,2,timing,auto,507904,14.328374778468792,16.18279,-11.459181151897846
gh200,2,timing,auto,524288,14.554901222392118,16.22791,-10.309453143429337
gh200,2,timing,auto,540672,14.780494791390478,18.49726,-20.093598774140187
gh200,2,timing,auto,557056,15.005187432750123,18.68606,-19.698494852579294
gh200,2,timing,auto,573440,15.229009093459606,18.65534,-18.36648866512427
gh200,2,timing,auto,589824,15.45198789897054,18.52575,-16.591836233509895
gh200,2,timing,auto,606208,15.67415031146465,19.5865,-19.974725900673175
gh200,2,timing,auto,622592,15.895521270466912,19.7865,-19.6648155537012
gh200,2,timing,auto,638976,16.116124318186117,19.70273,-18.203597581725383
gh200,2,timing,auto,655360,16.335981711590886,19.59035,-16.612098754790573
gh200,2,timing,auto,671744,16.555114522920963,20.39672,-18.834427677974862
gh200,2,timing,auto,688128,16.773542730080486,20.4508,-17.98099472841901
gh200,2,timing,auto,704512,16.991285298147496,20.51831,-17.189645257589458
gh200,2,timing,auto,720896,17.208360253059524,20.58168,-16.38991446247573
gh200,2,timing,auto,737280,17.42478474838693,21.45748,-18.79389029659154
gh200,2,timing,auto,753664,17.640575125981137,21.49204,-17.920424836445783
gh200,2,timing,auto,770048,17.855746971180764,21.59124,-17.300965710256733
gh200,2,timing,auto,786432,18.070315163169354,21.58516,-16.283617248288383
gh200,2,timing,auto,802816,18.284293921002245,22.5448,-18.897954645850724
gh200,2,timing,auto,819200,18.49769684575642,22.548,-17.963026229570602
gh200,2,timing,auto,835584,18.71053695920001,22.56432,-17.07910116857051
gh200,2,timing,auto,851968,18.92282673933229,22.71919,-16.709941070380196
gh200,2,timing,auto,868352,19.134578153101952,23.52781,-18.672506480195338
gh200,2,timing,auto,884736,19.345802686577183,23.6238,-18.108844950527924
gh200,2,timing,auto,901120,19.556511372809265,28.36348,-31.050381078734823
gh200,2,timing,auto,917504,19.766714817604772,28.50012,-30.64339793093933
gh200,2,timing,auto,933888,19.976423223398015,28.57571,-30.092994282913654
gh200,2,timing,auto,950272,20.18564641139404,28.8793,-30.103408284154952
gh200,2,timing,auto,966656,20.39439384213622,29.06841,-29.8400089921113
gh200,2,timing,auto,983040,20.602674634634084,29.21145,-29.4705513261612
gh200,2,timing,auto,999424,20.810497584175224,29.26785,-28.89639114531739
gh200,2,timing,auto,1015808,21.017871178931777,29.29953,-28.26550057652195
gh200,2,timing,auto,1032192,21.224803615461038,29.34105,-27.661744840552604
gh200,2,timing,auto,1048576,21.43130281319004,29.42584,-27.168424713822816
gh200,2,timing,auto,1064960,21.63737642796623,29.87382,-27.5707745846824
gh200,2,timing,auto,1081344,21.843031864746994,30.06614,-27.350062679323006
gh200,2,timing,auto,1097728,22.048276289495654,30.23093,-27.067158405329728
gh200,2,timing,auto,1114112,22.25311664034412,30.29397,-26.54275210431607
gh200,2,timing,auto,1130496,22.45755963807821,30.29525,-25.871020578875537
gh200,2,timing,auto,1146880,22.661611795995093,30.38421,-25.416485088817208
gh200,2,timing,auto,1163264,22.86527942917947,30.36565,-24.700181194278827
gh200,2,timing,auto,1179648,23.06856866324066,30.46549,-24.279672957038724
gh200,2,timing,auto,1196032,23.271485442548034,31.06749,-25.093770232007685
gh200,2,timing,auto,1212416,23.474035538001104,31.23357,-24.8435720348295
gh200,2,timing,auto,1228800,23.676224554365934,31.24402,-24.2215804676673
gh200,2,timing,auto,1245184,23.878057937207636,31.20242,-23.47369871565207
gh200,2,timing,auto,1261568,24.079540979446094,31.26322,-22.97805223055689
gh200,2,timing,auto,1277952,24.280678827560564,31.35698,-22.566909097876888
gh200,2,timing,auto,1294336,24.48147648746535,31.36188,-21.938747015595517
gh200,2,timing,auto,1310720,24.681938830078572,31.54385,-21.753562643499215
gh200,2,timing,auto,1327104,24.882070596603594,32.04698,-22.35751825412693
gh200,2,timing,auto,1343488,25.081876403541163,32.18638,-22.073012238278544
gh200,2,timing,auto,1359872,25.281360747448737,32.17327,-21.421227163267098
