architecture,lane,arm,width,bytes,median_us,min_us,max_us,q1_us,q3_us,relative_iqr,repetitions
a100,legacy,auto,2,3096576,78.18239927,78.13119888,82.22720027,78.18239927,78.43840122,0.0032744192093146817,5
a100,legacy,auto,2,3112960,78.28480005,77.97759771,82.12479949,78.23359966,78.7967965,0.007194204234286772,5
a100,legacy,auto,2,3129344,78.95039767,78.540802,82.43200183,78.89919728,79.46239412,0.007133552922102759,5
a100,legacy,auto,2,3145728,79.10399884,78.59200239,82.58559555,78.7967965,79.82079685,0.012944988433153582,5
a100,legacy,auto,2,3162112,79.3088004,78.540802,82.68799633,79.25760001,79.41120118,0.0019367481190650027,5
a100,legacy,auto,2,3178496,79.25760001,78.7967965,82.89279789,78.84799689,79.71839607,0.010981901797306171,5
a100,legacy,auto,2,3194880,79.46239412,79.10399884,83.04639906,79.41120118,79.51359451,0.0012885759500949475,5
a100,legacy,auto,2,3211264,79.82079685,79.41120118,82.94399828,79.82079685,80.12799919,0.003848650378388242,5
a100,legacy,auto,2,3227648,80.64000309,79.46239412,83.71199667,79.5647949,81.81759715,0.027936534767808902,5
a100,legacy,auto,2,3244032,80.43520153,79.92319763,83.66079628,80.02559841,80.64000309,0.007638504887326447,5
a100,legacy,auto,2,3260416,80.33280075,80.17919958,83.96799862,80.28160036,81.10079914,0.010197562793178324,5
a100,legacy,auto,2,3276800,80.79360425,80.23039997,83.60959589,80.48640192,80.84480464,0.0044360283629752886,5
a100,legacy,auto,2,3293184,80.53760231,80.28160036,84.17280018,80.48640192,80.89600503,0.0050858617372711796,5
a100,legacy,auto,2,3309568,80.79360425,80.28160036,84.88960564,80.64000309,81.66400343,0.012674274770951323,5
a100,legacy,auto,2,3325952,80.99840581,80.5888027,84.73600447,80.94720542,80.99840581,0.0006321160211485292,5
a100,legacy,auto,2,3342336,81.40800148,80.99840581,85.19680053,81.3056007,82.17599988,0.01069181363227352,5
a100,legacy,auto,2,3358720,81.56160265,81.10079914,84.94079858,81.51040226,82.12479949,0.007532922478687886,5
a100,legacy,auto,2,3375104,81.66400343,81.3056007,85.65760404,81.3056007,82.38080144,0.013166152709150862,5
a100,legacy,auto,2,3391488,82.17599988,81.45920187,85.3504017,82.02239871,82.32960105,0.003738346237935538,5
a100,legacy,auto,2,3407872,82.58559555,82.02239871,85.24800092,82.02239871,82.68799633,0.008059488044704181,5
a100,legacy,auto,2,3424256,82.0735991,81.71520382,85.96479893,81.86879754,82.73919672,0.010605105533869449,5
a100,legacy,auto,2,3440640,82.27840066,81.61280304,86.42560244,82.17599988,83.14879984,0.01182327259884282,5
a100,legacy,auto,2,3457024,82.43200183,82.17599988,85.75999737,82.27840066,82.79039711,0.006211136920535926,5
a100,legacy,auto,2,3473408,83.25120062,82.68799633,86.42560244,82.73919672,83.50719512,0.009225072963278189,5
a100,legacy,auto,2,3489792,83.09759945,82.79039711,86.78399771,82.8415975,83.3536014,0.006161476425177241,5
a100,legacy,auto,2,3506176,83.30240101,83.04639906,83.5583955,83.30240101,83.40479434,0.0012291762153134867,5
a100,legacy,auto,2,3522560,83.45599473,82.99519867,83.60959589,83.3536014,83.45599473,0.0012269140201523565,5
a100,legacy,auto,2,3538944,83.71199667,83.71199667,83.86559784,83.71199667,83.81439745,0.001223250956534572,5
a100,legacy,auto,2,3555328,83.76319706,83.20000023,84.32640135,83.5583955,83.81439745,0.003056258106010718,5
a100,legacy,auto,2,3571712,84.01919901,83.76319706,84.83840525,83.81439745,84.12159979,0.003656335023658582,5
a100,legacy,auto,2,3588096,84.01919901,83.60959589,84.73600447,83.86559784,84.17280018,0.003656335023658413,5
a100,legacy,auto,2,3604480,84.68480408,84.12159979,84.88960564,84.32640135,84.78720486,0.005441395478280773,5
a100,legacy,auto,2,3620864,84.78720486,84.48000252,85.3504017,84.63360369,85.09439975,0.005434735827898275,5
a100,legacy,auto,2,3637248,85.04319936,84.73600447,85.3504017,84.94079858,85.24800092,0.003612309300589197,5
a100,legacy,auto,2,3653632,85.40160209,85.24800092,85.55520326,85.40160209,85.45280248,0.0005995249356803409,5
a100,legacy,auto,2,3670016,85.50400287,85.04319936,85.81119776,85.09439975,85.70880443,0.007185683235604136,5
a100,legacy,auto,2,3686400,85.40160209,85.24800092,85.70880443,85.29920131,85.40160209,0.0011990498713605154,5
a100,legacy,auto,2,3702784,85.70880443,85.60640365,86.22080088,85.65760404,85.75999737,0.0011946652468314937,5
a100,legacy,auto,2,3719168,85.96479893,85.50400287,86.68159693,85.55520326,86.47680283,0.010720662195120636,5
a100,legacy,auto,2,3735552,86.32320166,86.16960049,86.42560244,86.22080088,86.42560244,0.0023724972668026857,5
a100,legacy,auto,2,3751936,86.73279732,86.42560244,86.93759888,86.63039654,86.8351981,0.002361293147785595,5
a100,legacy,auto,2,3768320,86.88639849,86.68159693,87.39839494,86.73279732,86.88639849,0.0017678390711255009,5
a100,legacy,auto,2,3784704,86.88639849,86.73279732,87.24480122,86.88639849,87.19360083,0.0035356781422508383,5
a100,legacy,auto,2,3801088,87.6031965,87.09120005,87.80799806,87.34719455,87.70559728,0.004091206078307985,5
a100,legacy,auto,2,3817472,86.8351981,86.37440205,87.34719455,86.63039654,87.24480122,0.007075525748123936,5
a100,legacy,auto,2,3833856,87.14240044,86.78399771,88.37120235,87.14240044,87.80799806,0.007638045505279402,5
a100,legacy,auto,2,3850240,87.55199611,86.88639849,87.65439689,86.93759888,87.65439689,0.008187112137334055,5
a100,legacy,auto,2,3866624,87.70559728,87.34719455,88.16640079,87.55199611,87.91039884,0.004086429385524784,5
