operation,ranks,operation_buffer_bytes,median_us,minimum_us,maximum_us,p05_us_nearest_rank,p95_us_nearest_rank,job_id,nodelist,freeze_commit,harness_commit,gpu,cuda_module,nccl_version,network_classes,gdr_states,source_sha256,binary_sha256,nccl_sha256
reduce_scatter,2,786432,87.04,62.4639987946,109.56799984,62.4639987946,100.35199672,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,917504,87.04,63.4879991412,90.1120007038,63.4879991412,89.0880003572,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,1048576,88.064,64.5119994879,111.616000533,64.5119994879,110.592000186,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,1179648,89.088,65.5359998345,92.1600013971,65.5359998345,91.1360010505,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,1310720,90.112001,65.5359998345,111.616000533,66.5600001812,104.447998106,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,1572864,91.136001,67.5840005279,126.975998282,67.5840005279,115.71200192,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,2097152,96.256003,72.7040022612,99.3279963732,72.7040022612,98.3040034771,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,3145728,104.447998,79.8719972372,125.952005386,79.8719972372,125.952005386,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,4194304,110.592,88.0640000105,115.71200192,88.0640000105,113.664001226,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,8388608,145.408005,121.855996549,150.527998805,122.879996896,148.479998112,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,16777216,219.136,196.608006954,246.784001589,197.63199985,226.303994656,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,33554432,360.448003,337.92001009,377.855986357,337.92001009,376.832008362,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
reduce_scatter,2,67108864,641.023993,621.568024158,651.26401186,621.568024158,649.215996265,202445,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,c838cecde8653cee30724127c105668f4bdfe45d05067b163082e180f3f2893a,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,4,512,74.752003,46.0800006986,96.2560027838,47.1040010452,88.0640000105,202444,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,6a3edcdd0f9c109b51c96b4be8def76d0b984e7f95251223e8509ff9dff8f9ea,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
all_gather,4,2048,72.704002,40.9599989653,86.0159993172,40.9599989653,84.9919989705,202444,gpu105,3f0aa24ea16573e3fc2ca030d541009cf308d12f,dc211d81d86a422d6f79aa41cbb52c30038797e3,NVIDIA A100-SXM4-80GB,cuda/12.2.2,23102,Socket,1,84c39ea204f0739363dcefb5be4068870499c3fb33eb0838df4ee2b5258495fe,6a3edcdd0f9c109b51c96b4be8def76d0b984e7f95251223e8509ff9dff8f9ea,dba12e429fe11268b895d0531ba96a7f679f35227d5b1ec77c5febbcd02281bd
