architecture,lane,width,bytes,warm,timed,persistent,rotate,median_us,q1_us,q3_us
a100,event,2,1310720,5,100,0,0,56.627202034,56.5350389481,56.8217611313
a100,event,2,1310720,5,100,0,1,57.9481601715,57.6819181442,57.9891204834
a100,event,2,1310720,5,100,1,0,56.5964794159,56.5657615662,56.6579198837
a100,event,2,1310720,5,100,1,1,57.3747205734,57.221121788,57.3952007294
a100,event,2,1310720,20,20,0,0,56.4736008644,56.3712000847,56.4736008644
a100,event,2,1310720,20,20,0,1,57.3440015316,57.2928011417,57.4464023113
a100,event,2,1310720,20,20,1,0,56.5248012543,56.4736008644,56.5760016441
a100,event,2,1310720,20,20,1,1,57.2928011417,57.1391999722,57.3952019215
a100,event,2,1310720,20,100,0,0,56.555519104,56.4531183243,56.5862417221
a100,event,2,1310720,20,100,0,1,57.518081665,57.3235177994,57.5590419769
a100,event,2,1310720,20,100,1,0,57.1392011642,57.0368003845,57.2927999496
a100,event,2,1310720,20,100,1,1,58.1017589569,57.8662395477,58.2041597366
a100,event,2,1572864,5,20,0,0,60.5184018612,60.4160010815,60.6208026409
a100,event,2,1572864,5,20,0,1,61.2864017487,61.0816001892,61.2864017487
a100,event,2,1572864,5,20,1,0,60.3648006916,60.1599991322,60.5184018612
a100,event,2,1572864,5,20,1,1,61.1840009689,61.1328005791,61.1840009689
a100,event,2,1572864,5,100,0,0,60.4672002792,60.4262399673,60.497918129
a100,event,2,1572864,5,100,0,1,60.7436800003,60.6207990646,60.9996795654
a100,event,2,1572864,5,100,1,0,60.6720018387,60.5900812149,60.8051204681
a100,event,2,1572864,5,100,1,1,61.2659215927,61.1840009689,61.3990402222
a100,event,2,1572864,20,20,0,0,60.6208026409,60.5696022511,60.6208026409
a100,event,2,1572864,20,20,0,1,61.3376021385,61.1328005791,61.3888025284
a100,event,2,1572864,20,20,1,0,60.5696022511,60.3136003017,60.6719970703
a100,event,2,1572864,20,20,1,1,61.3888025284,61.3376021385,61.4911973476
a100,event,2,1572864,20,100,0,0,60.0063991547,59.8732805252,60.0985622406
a100,event,2,1572864,20,100,0,1,60.84608078,60.77439785,60.9484815598
a100,event,2,1572864,20,100,1,0,60.200958252,60.180478096,60.3750419617
a100,event,2,1572864,20,100,1,1,60.8256006241,60.8153581619,60.9791994095
a100,event,2,2097152,5,20,0,0,68.5055971146,68.3520019054,68.7615990639
a100,event,2,2097152,5,20,0,1,69.5807993412,69.5807993412,69.6832001209
a100,event,2,2097152,5,20,1,0,68.147200346,68.147200346,68.147200346
a100,event,2,2097152,5,20,1,1,69.2224025726,69.2224025726,69.8880016804
a100,event,2,2097152,5,100,0,0,67.9628801346,67.9526376724,68.1369590759
a100,event,2,2097152,5,100,0,1,69.4579219818,69.2121601105,69.5807981491
a100,event,2,2097152,5,100,1,0,68.2086420059,68.1267213821,68.2803201675
a100,event,2,2097152,5,100,1,1,69.3555212021,69.2838382721,69.4579219818
a100,event,2,2097152,20,20,0,0,68.1984007359,68.0959999561,68.3520019054
a100,event,2,2097152,20,20,0,1,69.7856009007,69.4271981716,69.8368012905
a100,event,2,2097152,20,20,1,0,68.4544026852,68.4544026852,68.6079978943
a100,event,2,2097152,20,20,1,1,69.8368012905,69.7856009007,70.0927972794
a100,event,2,2097152,20,100,0,0,68.11647892,67.9116821289,68.1369590759
a100,event,2,2097152,20,100,0,1,69.376001358,69.2326402664,69.4784021378
a100,event,2,2097152,20,100,1,0,68.18816185,68.0857610703,68.2905578613
a100,event,2,2097152,20,100,1,1,69.4271993637,69.396481514,69.6627187729
a100,event,2,3145728,5,20,0,0,84.4799995422,84.3775987625,84.582400322
a100,event,2,3145728,5,20,0,1,86.6815984249,86.6815984249,86.7327988148
a100,event,2,3145728,5,20,1,0,84.3263983727,84.2751979828,84.3263983727
a100,event,2,3145728,5,20,1,1,86.5791976452,86.5279972553,86.630398035
a100,event,2,3145728,5,100,0,0,84.1523170471,84.0703964233,84.3571186066
a100,event,2,3145728,5,100,0,1,86.6201591492,86.2105560303,86.9375991821
a100,event,2,3145728,5,100,1,0,84.2240047455,84.2137622833,84.2547225952
a100,event,2,3145728,5,100,1,1,86.5382385254,86.4665603638,86.5587234497
a100,event,2,3145728,20,20,0,0,84.6336007118,84.3263983727,84.6848011017
a100,event,2,3145728,20,20,0,1,86.9376003742,86.7839992046,87.2448027134
a100,event,2,3145728,20,20,1,0,84.582400322,84.4799995422,84.582400322
a100,event,2,3145728,20,20,1,1,86.8863999844,86.8351995945,86.9376003742
a100,event,2,3145728,20,100,0,0,84.1830444336,84.1523170471,84.2240047455
a100,event,2,3145728,20,100,0,1,86.6406440735,86.3641643524,86.6918373108
a100,event,2,3145728,20,100,1,0,84.2137622833,84.1215991974,84.2342376709
a100,event,2,3145728,20,100,1,1,86.5382385254,86.2822437286,86.5791988373
a100,event,2,4194304,5,20,0,0,98.2016026974,97.8944003582,98.4063982964
a100,event,2,4194304,5,20,0,1,100.24960041,99.8911976814,100.55680275
a100,event,2,4194304,5,20,1,0,97.8431999683,97.6895987988,97.9968011379
a100,event,2,4194304,5,20,1,1,100.50560236,99.9935984612,100.659203529
a100,event,2,4194304,5,100,0,0,97.9148769379,97.7100753784,97.9456043243
a100,event,2,4194304,5,100,0,1,100.239362717,99.973115921,100.270080566
a100,event,2,4194304,5,100,1,0,97.9456043243,97.8124809265,98.2220840454
a100,event,2,4194304,5,100,1,1,100.065279007,100.055036545,100.147199631
a100,event,2,4194304,20,20,0,0,98.1504023075,97.9456007481,98.2016026974
a100,event,2,4194304,20,20,0,1,100.24960041,100.147199631,100.3008008
a100,event,2,4194304,20,20,1,0,98.2016026974,97.8431999683,98.3551979065
a100,event,2,4194304,20,20,1,1,100.45440197,100.095999241,100.45440197
a100,event,2,4194304,20,100,0,0,97.8124809265,97.5667190552,97.8227233887
a100,event,2,4194304,20,100,0,1,99.8707199097,99.7683238983,100.044803619
a100,event,2,4194304,20,100,1,0,97.7817630768,97.699842453,98.1811237335
a100,event,2,4194304,20,100,1,1,100.095996857,100.003843307,100.126724243
a100,event,4,8,5,20,0,0,12.5952005386,12.5440001488,12.5952005386
a100,event,4,8,5,20,0,1,12.5440001488,12.4927997589,12.7488002181
a100,event,4,8,5,20,1,0,12.5440001488,12.5440001488,12.5952005386
a100,event,4,8,5,20,1,1,13.1071999669,12.9536002874,13.1584003568
a100,event,4,8,5,100,0,0,12.0934402943,12.0729601383,12.2982394695
a100,event,4,8,5,100,0,1,12.3391997814,12.3289597034,12.4416005611
a100,event,4,8,5,100,1,0,12.1343994141,12.1139204502,12.144639492
a100,event,4,8,5,100,1,1,12.3699200153,12.2675204277,12.472319603
a100,event,4,8,20,20,0,0,12.3903997242,12.3392000794,12.4416001141
a100,event,4,8,20,20,0,1,12.5440001488,12.3392000794,12.5440001488
