architecture,width,bytes,control,baseline_us,reference_us,controlled_us,baseline_gap_us,controlled_gap_us,effect_us,twice_pooled_iqr_us,qualifies,diagnostic_tiny
a100,4,2097152,warmup_only,50.8928000927,50.27396,50.9952008724,0.6188400926999975,0.7212408723999957,0.10240077969999817,0.22897510440290175,False,False
a100,4,2097152,iterations_only,50.8928000927,50.27396,53.2377576828,0.6188400926999975,2.9637976827999992,2.3449575901000017,0.9476360915395985,False,False
a100,4,2097152,workers_only,50.8928000927,50.27396,50.9952008724,0.6188400926999975,0.7212408723999957,0.10240077969999817,0.22897510440290175,False,False
a100,4,2097152,rotation_only,50.8928000927,50.27396,52.4287998676,0.6188400926999975,2.1548398675999962,1.5359997748999987,0.3238196981556302,False,False
a100,4,2097152,joint,50.8928000927,50.27396,54.1900777817,0.6188400926999975,3.9161177816999952,3.2972776889999977,0.22897510440290175,False,False
a100,4,3145728,warmup_only,63.4368002415,56.73593,63.6416018009,6.700870241499999,6.905671800899995,0.20480155939999634,0.6556849145071737,False,False
a100,4,3145728,iterations_only,63.4368002415,56.73593,64.1433620453,6.700870241499999,7.407432045299991,0.7065618037999926,0.5120010375341958,False,False
a100,4,3145728,workers_only,63.4368002415,56.73593,63.3343994617,6.700870241499999,6.598469461699999,0.10240077979999995,0.4579502088057972,False,False
a100,4,3145728,rotation_only,63.4368002415,56.73593,64.767998457,6.700870241499999,8.032068457000001,1.3311982155000024,0.7384126050361599,False,False
a100,4,3145728,joint,63.4368002415,56.73593,64.6655988693,6.700870241499999,7.929668869299995,1.2287986277999963,0.414184813931471,False,False
a100,4,4194304,warmup_only,76.8000006676,68.47208,77.6704013348,8.327920667599997,9.1983213348,0.870400667200002,0.3692112619390675,False,False
a100,4,4194304,iterations_only,76.8000006676,68.47208,76.4006376266,8.327920667599997,7.928557626599996,0.39936304100000086,0.49491664986284273,False,False
a100,4,4194304,workers_only,76.8000006676,68.47208,77.004802227,8.327920667599997,8.532722226999994,0.20480155939999634,0.22897510431347015,False,False
a100,4,4194304,rotation_only,76.8000006676,68.47208,78.8479983807,8.327920667599997,10.3759183807,2.0479977131000027,0.745488929060171,False,False
a100,4,4194304,joint,76.8000006676,68.47208,79.1142416,8.327920667599997,10.642161599999994,2.314240932399997,0.40393592413104396,False,False
gh200,2,8,warmup_only,7.06719979644,6.44236,6.92640021443,0.6248397964399999,0.4840402144300002,0.14079958200999965,0.558058902013485,False,True
gh200,2,8,iterations_only,7.06719979644,6.44236,6.59936010838,0.6248397964399999,0.15700010838000011,0.46783968805999976,0.4667795933601417,True,True
gh200,2,8,workers_only,7.06719979644,6.44236,7.30879977345,0.6248397964399999,0.8664397734499998,0.2415999770099999,0.43454104500116436,False,True
gh200,2,8,rotation_only,7.06719979644,6.44236,7.2879999876,0.6248397964399999,0.8456399876000003,0.22080019116000038,0.7744058305047183,False,True
gh200,2,8,joint,7.06719979644,6.44236,6.65535986423,0.6248397964399999,0.2129998642300004,0.4118399322099995,0.07814594726183387,True,True
gh200,2,1024,warmup_only,6.95040002465,6.54732,6.90400004387,0.40308002465000037,0.35668004386999996,0.046399980780000405,0.8527739988084782,False,True
gh200,2,1024,iterations_only,6.95040002465,6.54732,6.67071998119,0.40308002465000037,0.1233999811900004,0.27968004345999997,0.8553869109720103,False,True
gh200,2,1024,workers_only,6.95040002465,6.54732,6.83839991689,0.40308002465000037,0.29107991689000023,0.11200010776000013,0.9097962292804264,False,True
gh200,2,1024,rotation_only,6.95040002465,6.54732,6.83680027723,0.40308002465000037,0.28948027723,0.11359974742000034,0.8598056436044936,False,True
gh200,2,1024,joint,6.95040002465,6.54732,6.72479987144,0.40308002465000037,0.1774798714400001,0.22560015321000026,0.8979054036862287,False,True
gh200,2,524288,warmup_only,16.3552001119,16.35983,16.5007993579,0.004629888099998425,0.1409693579000013,0.14559924599999974,0.7781874054121745,False,False
gh200,2,524288,iterations_only,16.3552001119,16.35983,16.3740801811,0.004629888099998425,0.014250181099999537,0.018880069199997962,0.3141879490766027,False,False
gh200,2,524288,workers_only,16.3552001119,16.35983,16.3663998246,0.004629888099998425,0.006569824599999663,0.011199712699998088,0.4669131549655108,False,False
gh200,2,524288,rotation_only,16.3552001119,16.35983,17.7231997252,0.004629888099998425,1.3633697252000019,1.3679996133000003,0.48633739401998854,False,False
gh200,2,524288,joint,16.3552001119,16.35983,17.6662397385,0.004629888099998425,1.306409738500001,1.3110396265999995,0.3284946115462763,False,False
gh200,2,786432,warmup_only,21.6879993677,21.77408,21.7583999038,0.08608063229999985,0.01568009620000055,0.0704005360999993,0.5999114435865319,False,False
gh200,2,786432,iterations_only,21.6879993677,21.77408,21.7212796211,0.08608063229999985,0.05280037890000244,0.033280253399997406,0.3067393583985244,False,False
gh200,2,786432,workers_only,21.6879993677,21.77408,21.9024002552,0.08608063229999985,0.12832025519999846,0.2144008874999983,0.5281645018591473,False,False
gh200,2,786432,rotation_only,21.6879993677,21.77408,23.2160001993,0.08608063229999985,1.4419201993000001,1.5280008316,0.3331227728511432,False,False
gh200,2,786432,joint,21.6879993677,21.77408,24.5391988754,0.08608063229999985,2.765118875399999,2.8511995076999987,0.31601941094745134,False,False
gh200,2,1048576,warmup_only,29.5599997044,29.49383,29.3920010328,0.06616970440000003,0.10182896719999945,0.16799867159999948,0.28701760048750274,False,False
gh200,2,1048576,iterations_only,29.5599997044,29.49383,29.3414402008,0.06616970440000003,0.15238979919999807,0.2185595035999981,0.32408786523465755,False,False
gh200,2,1048576,workers_only,29.5599997044,29.49383,29.5792013407,0.06616970440000003,0.08537134070000008,0.019201636300000047,0.21238452392257312,False,False
gh200,2,1048576,rotation_only,29.5599997044,29.49383,29.8159986734,0.06616970440000003,0.3221686734000002,0.2559989690000002,0.18304201381573332,False,False
gh200,2,1048576,joint,29.5599997044,29.49383,29.9753594398,0.06616970440000003,0.4815294397999992,0.41535973539999915,0.17142785608374486,False,False
gh200,2,1310720,warmup_only,31.6000014544,31.77984,31.7535996437,0.17983854559999912,0.026240356300000656,0.15359818929999847,0.17415974992270103,False,False
gh200,2,1310720,iterations_only,31.6000014544,31.77984,31.5743994713,0.17983854559999912,0.20544052869999874,0.025601983099999615,0.127436784037267,False,False
gh200,2,1310720,workers_only,31.6000014544,31.77984,31.7600011826,0.17983854559999912,0.019838817400000153,0.15999972819999897,0.16222368398997766,False,False
gh200,2,1310720,rotation_only,31.6000014544,31.77984,32.2943985462,0.17983854559999912,0.5145585462,0.6943970917999991,0.34145931415446507,False,False
gh200,2,1310720,joint,31.6000014544,31.77984,32.5465607643,0.17983854559999912,0.7667207642999969,0.946559309899996,0.10616825201595363,False,False
gh200,2,1572864,warmup_only,33.6751997471,33.85177,33.8223993778,0.1765702528999995,0.029370622200005414,0.1471996306999941,0.6805079609192762,False,False
gh200,2,1572864,iterations_only,33.6751997471,33.85177,33.6115193367,0.1765702528999995,0.240250663300003,0.0636804104000035,0.6488681349387497,False,False
gh200,2,1572864,workers_only,33.6751997471,33.85177,33.8256001472,0.1765702528999995,0.026169852800002502,0.150400400099997,0.596991273476183,False,False
gh200,2,1572864,rotation_only,33.6751997471,33.85177,34.5647990704,0.1765702528999995,0.7130290703999975,0.889599323299997,0.6323757032470667,False,False
gh200,2,1572864,joint,33.6751997471,33.85177,34.6028804779,0.1765702528999995,0.7511104778999993,0.9276807307999988,0.5870291132216262,False,False
gh200,2,2097152,warmup_only,37.9296004772,37.9214,37.8928005695,0.008200477199999057,0.028599430500001688,0.036799907700000745,0.21363502062038783,False,False
gh200,2,2097152,iterations_only,37.9296004772,37.9214,37.8028798103,0.008200477199999057,0.11852018969999989,0.12672066689999895,0.42731320499842085,False,False
